Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2001","2001","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2002","2002","tonnes","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2003","2003","tonnes","71","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2004","2004","tonnes","261","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2005","2005","tonnes","40","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2006","2006","tonnes","136","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2007","2007","tonnes","349","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2008","2008","tonnes","503","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2009","2009","tonnes","718","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2010","2010","tonnes","598","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2011","2011","tonnes","391","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2012","2012","tonnes","438","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2013","2013","tonnes","223","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2014","2014","tonnes","314","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2015","2015","tonnes","623","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2016","2016","tonnes","1292","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2017","2017","tonnes","1498","","Official data"
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","58","Flour, maize","2018","2018","tonnes","1494","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2000","2000","1000 US$","0","F","FAO estimate"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2001","2001","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2002","2002","1000 US$","","M","Data not available"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2003","2003","1000 US$","17","","Official data"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2004","2004","1000 US$","41","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2005","2005","1000 US$","9","R","Estimated data using trading partners database"
"TP","Crops and livestock products","149","Nepal","5622","Import Value","58","Flour, maize","2006","2006","1000 US$","21","R","Estimated data using trading partners database"
